@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3}
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1006,'2017/02/24 11:30:42:368',11,28.114664,0,0,0,?,?,?
1007,'2017/02/24 11:30:42:384',11,30.247126,0,0,0,?,?,?
1008,'2017/02/24 11:30:42:401',11,30.247126,0,0,0,?,?,?
1009,'2017/02/24 11:30:42:417',11,30.247126,0,0,0,?,?,?
1010,'2017/02/24 11:30:42:433',11,30.247126,0,0,0,?,?,?
1011,'2017/02/24 11:30:42:451',11,30.891605,0,0,0,?,?,?
1012,'2017/02/24 11:30:42:467',11,30.891605,0,0,0,?,?,?
1013,'2017/02/24 11:30:42:485',11,30.891605,0,0,0,?,?,?
1014,'2017/02/24 11:30:42:501',11,30.891605,0,0,0,?,?,?
1015,'2017/02/24 11:30:42:517',11,31.044641,0,0,0,?,?,?
1016,'2017/02/24 11:30:42:534',11,30.637739,0,0,0,?,?,?
1017,'2017/02/24 11:30:42:550',11,30.637739,0,0,0,?,?,?
1018,'2017/02/24 11:30:42:567',11,30.637739,0,0,0,?,?,?
1019,'2017/02/24 11:30:42:583',11,30.637739,0,0,0,?,?,?
1020,'2017/02/24 11:30:42:601',11,30.328173,0,0,0,?,?,?
1021,'2017/02/24 11:30:42:617',11,30.328173,0,0,0,?,?,?
1022,'2017/02/24 11:30:42:635',11,30.328173,0,0,0,?,?,?
1023,'2017/02/24 11:30:42:653',11,29.45833,0,0,0,?,?,?
1024,'2017/02/24 11:30:42:669',11,29.45833,0,0,0,?,?,?
1025,'2017/02/24 11:30:42:686',11,29.383022,0,0,0,?,?,?
1026,'2017/02/24 11:30:42:703',11,29.383022,0,0,0,?,?,?
1027,'2017/02/24 11:30:42:719',11,29.383022,0,0,0,?,?,?
1028,'2017/02/24 11:30:42:735',11,29.383022,0,0,0,?,?,?
1029,'2017/02/24 11:30:42:752',11,28.229168,0,0,0,?,?,?
1030,'2017/02/24 11:30:42:768',11,28.229168,0,0,0,?,?,?
1031,'2017/02/24 11:30:42:786',11,28.229168,0,0,0,?,?,?
1032,'2017/02/24 11:30:42:804',11,28.229168,0,0,0,?,?,?
1033,'2017/02/24 11:30:42:818',11,28.229168,0,0,0,?,?,?
1034,'2017/02/24 11:30:42:835',11,28.106993,0,0,0,?,?,?
1035,'2017/02/24 11:30:42:851',11,27.897882,0,0,0,?,?,?
1036,'2017/02/24 11:30:42:868',11,27.897882,0,0,0,?,?,?
1037,'2017/02/24 11:30:42:884',11,27.897882,0,0,0,?,?,?
1038,'2017/02/24 11:30:42:901',11,27.922457,0,0,0,?,?,?
1039,'2017/02/24 11:30:42:918',11,27.922457,0,0,0,?,?,?
1040,'2017/02/24 11:30:42:935',11,27.922457,0,0,0,?,?,?
1041,'2017/02/24 11:30:42:953',11,27.38088,0,0,0,?,?,?
1042,'2017/02/24 11:30:42:968',11,27.38088,0,0,0,?,?,?
1043,'2017/02/24 11:30:42:985',11,26.932369,0,0,0,?,?,?
1044,'2017/02/24 11:30:43:001',11,26.932369,0,0,0,?,?,?
1045,'2017/02/24 11:30:43:018',11,26.932369,0,0,0,?,?,?
1046,'2017/02/24 11:30:43:035',11,26.932369,0,0,0,?,?,?
1047,'2017/02/24 11:30:43:051',11,26.932369,0,0,0,?,?,?
1048,'2017/02/24 11:30:43:068',11,26.932369,0,0,0,?,?,?
1049,'2017/02/24 11:30:43:085',11,32.895473,0,0,0,?,?,?
1050,'2017/02/24 11:30:43:105',11,34.046997,0,0,0,?,?,?
1051,'2017/02/24 11:30:43:118',11,34.046997,0,0,0,?,?,?
1052,'2017/02/24 11:30:43:135',11,34.046997,0,0,0,?,?,?
1053,'2017/02/24 11:30:43:153',11,34.046997,0,0,0,?,?,?
1054,'2017/02/24 11:30:43:170',11,34.631489,0,0,0,?,?,?
1055,'2017/02/24 11:30:43:186',11,34.631489,0,0,0,?,?,?
1056,'2017/02/24 11:30:43:202',11,35.178856,0,0,0,?,?,?
1057,'2017/02/24 11:30:43:219',11,35.178856,0,0,0,?,?,?
1058,'2017/02/24 11:30:43:253',11,34.930565,0,0,0,?,?,?
1059,'2017/02/24 11:30:43:269',11,34.930565,0,0,0,?,?,?
1060,'2017/02/24 11:30:43:287',11,34.930565,0,0,0,?,?,?
1061,'2017/02/24 11:30:43:302',11,34.930565,0,0,0,?,?,?
1062,'2017/02/24 11:30:43:320',11,34.697704,0,0,0,?,?,?
1063,'2017/02/24 11:30:43:337',11,34.697704,0,0,0,?,?,?
1064,'2017/02/24 11:30:43:353',11,30.077251,0,0,0,?,?,?
